Building ID,Node Index,Latitude,Longitude
15971186,0,52.5176495,13.3963739
15971186,1,52.5176696,13.3963705
15971186,2,52.5176701,13.3963772
15971186,3,52.5176850,13.3963747
15971186,4,52.5176979,13.3963725
15971186,5,52.5176974,13.3963644
15971186,6,52.5177466,13.3963561
15971186,7,52.5177471,13.3963639
15971186,8,52.5177918,13.3963564
15971186,9,52.5177912,13.3963457
15971186,10,52.5178415,13.3963373
15971186,11,52.5178420,13.3963467
15971186,12,52.5178672,13.3963425
15971186,13,52.5178666,13.3963326
15971186,14,52.5179103,13.3963253
15971186,15,52.5179108,13.3963328
15971186,16,52.5179453,13.3963271
15971186,17,52.5179447,13.3963175
15971186,18,52.5179809,13.3963114
15971186,19,52.5179796,13.3962908
15971186,20,52.5180224,13.3962836
15971186,21,52.5180284,13.3962716
15971186,22,52.5180730,13.3962650
15971186,23,52.5180804,13.3962739
15971186,24,52.5181247,13.3962665
15971186,25,52.5181259,13.3962848
15971186,26,52.5181611,13.3962789
15971186,27,52.5181615,13.3962862
15971186,28,52.5181915,13.3962812
15971186,29,52.5181909,13.3962723
15971186,30,52.5182384,13.3962643
15971186,31,52.5182388,13.3962713
15971186,32,52.5182657,13.3962668
15971186,33,52.5182652,13.3962583
15971186,34,52.5183160,13.3962498
15971186,35,52.5183164,13.3962565
15971186,36,52.5183623,13.3962488
15971186,37,52.5183618,13.3962405
15971186,38,52.5184100,13.3962324
15971186,39,52.5184104,13.3962384
15971186,40,52.5184346,13.3962344
15971186,41,52.5184342,13.3962271
15971186,42,52.5184465,13.3962250
15971186,43,52.5184469,13.3962320
15971186,44,52.5184546,13.3962307
15971186,45,52.5184556,13.3962480
15971186,46,52.5184597,13.3962473
15971186,47,52.5184671,13.3963668
15971186,48,52.5184726,13.3963659
15971186,49,52.5184760,13.3964213
15971186,50,52.5184792,13.3964719
15971186,51,52.5184760,13.3964725
15971186,52,52.5184942,13.3967661
15971186,53,52.5184989,13.3967653
15971186,54,52.5185144,13.3970147
15971186,55,52.5185124,13.3970150
15971186,56,52.5185301,13.3973007
15971186,57,52.5185351,13.3972998
15971186,58,52.5185417,13.3974054
15971186,59,52.5185381,13.3974060
15971186,60,52.5185460,13.3975327
15971186,61,52.5185425,13.3975332
15971186,62,52.5185434,13.3975466
15971186,63,52.5185355,13.3975479
15971186,64,52.5185360,13.3975559
15971186,65,52.5185258,13.3975576
15971186,66,52.5185252,13.3975482
15971186,67,52.5184959,13.3975531
15971186,68,52.5184966,13.3975639
15971186,69,52.5184481,13.3975720
15971186,70,52.5184475,13.3975634
15971186,71,52.5184006,13.3975713
15971186,72,52.5184011,13.3975803
15971186,73,52.5183557,13.3975879
15971186,74,52.5183552,13.3975810
15971186,75,52.5183252,13.3975860
15971186,76,52.5183257,13.3975943
15971186,77,52.5182789,13.3976021
15971186,78,52.5182785,13.3975948
15971186,79,52.5182483,13.3975999
15971186,80,52.5182488,13.3976075
15971186,81,52.5182126,13.3976135
15971186,82,52.5182138,13.3976322
15971186,83,52.5181691,13.3976397
15971186,84,52.5181650,13.3976519
15971186,85,52.5181231,13.3976602
15971186,86,52.5181166,13.3976482
15971186,87,52.5180711,13.3976561
15971186,88,52.5180701,13.3976402
15971186,89,52.5180313,13.3976467
15971186,90,52.5180308,13.3976382
15971186,91,52.5180066,13.3976422
15971186,92,52.5180072,13.3976520
15971186,93,52.5179558,13.3976606
15971186,94,52.5179552,13.3976512
15971186,95,52.5179300,13.3976554
15971186,96,52.5179306,13.3976653
15971186,97,52.5178795,13.3976739
15971186,98,52.5178791,13.3976668
15971186,99,52.5178365,13.3976739
15971186,100,52.5178370,13.3976820
15971186,101,52.5177858,13.3976906
15971186,102,52.5177853,13.3976840
15971186,103,52.5177687,13.3976868
15971186,104,52.5177559,13.3976890
15971186,105,52.5177564,13.3976974
15971186,106,52.5177493,13.3976986
15971186,107,52.5177488,13.3976906
15971186,108,52.5177377,13.3976925
15971186,109,52.5177355,13.3976575
15971186,110,52.5177402,13.3976567
15971186,111,52.5177377,13.3976165
15971186,112,52.5177326,13.3976174
15971186,113,52.5177275,13.3975363
15971186,114,52.5177323,13.3975355
15971186,115,52.5177276,13.3974597
15971186,116,52.5177221,13.3974606
15971186,117,52.5177176,13.3973888
15971186,118,52.5177226,13.3973880
15971186,119,52.5177197,13.3973421
15971186,120,52.5177141,13.3973430
15971186,121,52.5177090,13.3972608
15971186,122,52.5177141,13.3972599
15971186,123,52.5177112,13.3972120
15971186,124,52.5177055,13.3972130
15971186,125,52.5177019,13.3971556
15971186,126,52.5176930,13.3971571
15971186,127,52.5176879,13.3970738
15971186,128,52.5177015,13.3970715
15971186,129,52.5176990,13.3970326
15971186,130,52.5176969,13.3969980
15971186,131,52.5176809,13.3970007
15971186,132,52.5176758,13.3969188
15971186,133,52.5176851,13.3969172
15971186,134,52.5176811,13.3968531
15971186,135,52.5176861,13.3968522
15971186,136,52.5176838,13.3968141
15971186,137,52.5176788,13.3968149
15971186,138,52.5176737,13.3967331
15971186,139,52.5176800,13.3967321
15971186,140,52.5176774,13.3966899
15971186,141,52.5176709,13.3966910
15971186,142,52.5176661,13.3966130
15971186,143,52.5176715,13.3966121
15971186,144,52.5176663,13.3965280
15971186,145,52.5176595,13.3965291
15971186,146,52.5176550,13.3964568
15971186,147,52.5176610,13.3964558
15971186,148,52.5176585,13.3964147
15971186,149,52.5176521,13.3964158
15971186,150,52.5176495,13.3963739
15976890,0,52.5172905,13.3975116
15976890,1,52.5173103,13.3978115
15976890,2,52.5173311,13.3981210
15976890,3,52.5171203,13.3981577
15976890,4,52.5171093,13.3979922
15976890,5,52.5171248,13.3979893
15976890,6,52.5171233,13.3979623
15976890,7,52.5171069,13.3979655
15976890,8,52.5170924,13.3977417
15976890,9,52.5171086,13.3977392
15976890,10,52.5171064,13.3977122
15976890,11,52.5170906,13.3977150
15976890,12,52.5170798,13.3975490
15976890,13,52.5172905,13.3975116
15976892,0,52.5162518,13.3946746
15976892,1,52.5162574,13.3946737
15976892,2,52.5162507,13.3945627
15976892,3,52.5163278,13.3945501
15976892,4,52.5163203,13.3944261
15976892,5,52.5164490,13.3944052
15976892,6,52.5164470,13.3943711
15976892,7,52.5166133,13.3943440
15976892,8,52.5166154,13.3943779
15976892,9,52.5167443,13.3943569
15976892,10,52.5167518,13.3944814
15976892,11,52.5170810,13.3944278
15976892,12,52.5170876,13.3945376
15976892,13,52.5171191,13.3945324
15976892,14,52.5171279,13.3946768
15976892,15,52.5171350,13.3947960
15976892,16,52.5171036,13.3948012
15976892,17,52.5171103,13.3949132
15976892,18,52.5167774,13.3949675
15976892,19,52.5167854,13.3950996
15976892,20,52.5166591,13.3951202
15976892,21,52.5166616,13.3951614
15976892,22,52.5164947,13.3951886
15976892,23,52.5164922,13.3951475
15976892,24,52.5163636,13.3951685
15976892,25,52.5163556,13.3950370
15976892,26,52.5162801,13.3950493
15976892,27,52.5162736,13.3949404
15976892,28,52.5162679,13.3949413
15976892,29,52.5162518,13.3946746
18578139,0,52.5197085,13.3979679
18578139,1,52.5197400,13.3979258
18578139,2,52.5199838,13.3975999
18578139,3,52.5200696,13.3974852
18578139,4,52.5201083,13.3974357
18578139,5,52.5201378,13.3973941
18578139,6,52.5204051,13.3970368
18578139,7,52.5204901,13.3972077
18578139,8,52.5205395,13.3973070
18578139,9,52.5205520,13.3973321
18578139,10,52.5205764,13.3972994
18578139,11,52.5206594,13.3974663
18578139,12,52.5206338,13.3975006
18578139,13,52.5205625,13.3975959
