Area (sqm),Perimeter (m),U_value,SHGC_value,WWR_value,Window_Num,SC_value,Climate_Zone,Cluster,Energy_Rating
8235.10186456637,405.0452372195842,2.123353068682089,0.2347433183945249,0.4896982871542894,11,0.4961518690442458,8,1,B
974.4293206648088,137.50572001078777,1.981523557425759,0.3254927871285774,0.4674860342302866,17,0.5699174636339415,6,2,C
4071.4110968645896,305.3878225712933,4.830145242494725,0.6333322412447722,0.5696826166471595,4,0.2687699333860585,3,0,A
4053.908836725844,296.25039304660567,3.1168250042776604,0.7306553907475659,0.5996594864725024,16,0.7787148956638902,7,0,A
2551.463289048037,202.7415996037306,4.534847411584701,0.4164962542869499,0.4785705674322177,17,0.2779618631913137,7,1,B
2418.3981973691743,315.82936410167747,2.8310322926767246,0.2113462408571056,0.4454461965514374,8,0.8975674052042194,8,1,B
6506.418295499141,405.2313629410287,4.150219120626453,0.2393575639857258,0.4765360124916181,12,0.5853149125504798,6,1,B
3687.976928258762,349.58929471826144,4.402815168972661,0.6435829294844401,0.315479074433305,16,0.3546606575023865,5,0,A
1502.3873750834314,234.7412054021787,4.8311420562177805,0.6174426118655431,0.3655259712837621,17,0.5940926444339826,8,2,C
714.4801017547328,177.1475677925341,1.7085125504739578,0.6050497270174531,0.478904680086377,8,0.1670137265911071,1,4,E
2208.3010400331104,276.0628480890851,3.928736271403601,0.7644746969926861,0.4910545944206662,4,0.9315945679803446,3,0,A
1374.2469570161873,203.4041195631475,1.7171939778211427,0.2778267433718837,0.4137012329966685,19,0.232988314180059,3,3,D
801.469423114051,183.71058977976705,2.213836282664901,0.5397612927371979,0.2706141556157835,14,0.6193363264518394,8,2,C
368.2264073350013,98.09738923521368,2.016630934424453,0.6813121798247426,0.2971006001672245,6,0.6332720737765928,4,4,E
740.584054030676,163.62021363978764,4.443614872029186,0.6405552544182413,0.2305010271582631,14,0.6594965735430066,5,0,A
1014.2538297466195,156.35231735378753,4.929626476193915,0.7497295277660256,0.1984941503646915,13,0.2356424665051943,7,2,C
1581.880785950199,188.6544435555068,2.408683400221127,0.3461327259377317,0.1661107208923274,15,0.2891297053773437,6,2,C
2019.724230164572,186.58364245903675,4.034909364622576,0.575886944990692,0.56558391782661,2,0.4906005043906718,2,0,A
182.20560626005823,54.07049236064376,4.027753721016481,0.4661619643366473,0.5709691189773652,7,0.6815888525224006,7,1,B
228.16685961749465,65.29965323811336,2.1653637962523824,0.4110649727005484,0.4280542385289158,8,0.8701217232508,5,3,D
709.0784140297214,177.53644440077684,4.566491488283592,0.4995767874065847,0.24819384645993,19,0.3649787025320758,2,0,A
2594.4237728986573,271.8513425353965,4.430839019416614,0.5827015303598828,0.4873025181452031,5,0.7196199570396766,6,1,B
3431.1671517053765,329.9871999362151,1.1928396671817336,0.5984483837977025,0.5631647715666338,2,0.8889633301267031,8,4,E
1433.7584835591842,220.3856416775284,4.709315325980926,0.7932886279474254,0.2972477639799482,16,0.5365254309490946,7,0,A
164.2101984455934,52.53170731111773,1.1491056178695986,0.5622697635237037,0.5200417761975981,7,0.2466326514612304,4,4,E
171.30964610091291,53.34584785015451,4.585781314888682,0.2587186310813291,0.1009805601305646,13,0.2596010959077796,7,1,B
788.0714869433026,187.600700842083,4.473140485997568,0.2272211396425248,0.2217788644245343,2,0.8592510833990099,2,1,B
738.9571903418212,109.52155300571393,4.771372259574536,0.4709432579968011,0.0147825669759495,2,0.2359330049738486,7,1,B
913.2837507381978,181.33588844985857,3.488101144756736,0.4579395621461262,0.1318990208607842,12,0.1163097792167455,7,2,C
901.0158945295238,180.42311140456496,1.0200530337025158,0.6616310525993083,0.3809993293389378,10,0.4746075635554939,4,4,E
966.860258162816,207.61850647759616,3.963450688390173,0.2464938909900929,0.1301055524942745,9,0.5573659900543291,7,1,B
484.0203618079415,98.70768501961844,1.8193217636809664,0.582298913844218,0.4475600334982595,13,0.1477162563914182,1,3,D
361.6502822310098,103.7837196570624,4.289173930996107,0.3695417154766805,0.0452838671899774,9,0.1268575462155323,7,1,B
551.6914629254297,157.2241624240175,4.271955716651775,0.5263028816501177,0.3957553070939681,19,0.2601519380488783,5,0,A
644.4103788476607,168.16149300014854,1.623633075264439,0.7377429573209002,0.0972208368232351,9,0.7712150182765568,6,4,E
